Customer_ID,Customer_Role,Specialty_Service,Establishment_Type,Country,Language,Years_Experience,Skill_Level_Self_Assessed,OPCO_Eligibility,Has_BD_Contract,Format_Preference,Available_Time_Hours,Training_Objective,Preferred_BD_Product,Prior_BD_Trainings,Completed_Training_Treatment,Satisfaction_Score_Proxy
HCP0001,Biomedical Engineer,Microbiology,Universitätsklinikum,Germany,Deutsch (de) - German,20,Intermediate,No,Yes,Blended,4,Develop vascular access unit expertise,,BD5366,No,3.8
HCP0002,Nurse,Trauma ICU,IPSS,Portugal,Português (pt) - Portuguese,30,Beginner,No,Yes,Masterclass,24,Validate Qualiopi competencies for task delegation,BD PICCline,,Yes,4.7
HCP0003,Physician,Réanimation,Private Hospital,United Kingdom,English (United Kingdom),18,Intermediate,No,No,E-learning,4,Improve pre-analytical quality and reduce specimen non-conformances,BD PICCline,,Yes,4.4
HCP0004,Nurse,Clinical Pharmacy,Regionaal Ziekenhuis,Netherlands,Nederlands (nl) - Dutch,7,Advanced,No,Yes,Blended,16,Onboard on BD Nexiva™ IV catheter system,BD Foley,BD8152,Yes,4.4
HCP0005,Physician,Dispensing Automation,Academic Medical Center,United States,English (United States),19,Advanced,No,Yes,Blended,4,Onboard new staff on BD Alaris™ infusion pump systems,BD PICCline,,Yes,2.5
HCP0006,Pharmacy Manager,Formulary Management,HAD,France,Français (fr) - French,11,Intermediate,Yes,No,E-learning,16,Préparer la mise en œuvre du protocole TTM en réanimation,BD Rowa™,BD0260,Yes,5.0
HCP0007,Physician,IT Systems,Academic Medical Center,Poland,Polski (pl) - Polish,16,Advanced,No,No,E-learning,8,Optimise Pyxis ES dispensing workflows,BD Alaris™,,Yes,4.6
HCP0008,ICU Specialist,Pediatrics,EHPAD,France,Français (fr) - French,11,Intermediate,Yes,Yes,Masterclass,24,Optimiser les workflows de dispensation sur le système Pyxis ES,BD Insyte™,,No,
HCP0009,ICU Specialist,Gériatrie,Ospedale Regionale,Italy,Italiano (it) - Italian,14,Intermediate,Yes,No,E-learning,4,Enhance PICC line insertion and maintenance skills,VADvisor™,,Yes,4.1
HCP0010,Nurse,Oncologie,Community Hospital,Romania,Română (ro) - Romanian,13,Expert,No,Yes,E-learning,16,Prepare for OPCO-funded certification in vascular access,BD Insyte™,BD7321,Yes,3.3
HCP0011,Nurse,Oncologie,EHPAD,France,Français (fr) - French,6,Advanced,Yes,No,Masterclass,2,Préparer une certification financée par l'OPCO en accès vasculaire,BD PICCline,BD8956,Yes,3.5
HCP0012,Physician,Clinical Pharmacy,GGZ,Netherlands,Nederlands (nl) - Dutch,2,Expert,No,Yes,On-site,2,Enhance PICC line insertion and maintenance skills,BD Foley,,Yes,4.2
HCP0013,Nurse,Hematology,CH,France,Français (fr) - French,20,Intermediate,Yes,Yes,Blended,8,Préparer la mise en œuvre du protocole TTM en réanimation,BD Bair Hugger™,,No,3.4
HCP0014,Clinical Pharmacist,Pharmacy Management,Ospedale Universitario,Italy,Italiano (it) - Italian,15,Intermediate,Yes,No,Blended,16,Train on BD Rowa™ pharmacy automation system,BD A-Line™,,No,4.0
HCP0015,Physician,Soins Intensifs,Academic Medical Center,Poland,Polski (pl) - Polish,22,Expert,No,Yes,Webinar,8,Prepare for BD Vacutainer® train-the-trainer programme,BD Rowa™,,No,4.6
HCP0016,Nurse,Advanced Practice Nursing,ESPIC,France,Français (fr) - French,14,Intermediate,Yes,Yes,Blended,2,Former les nouveaux utilisateurs au système BD Alaris™,BD Bair Hugger™,BD2481,No,4.7
HCP0017,Nurse,Urgences,CH,France,Français (fr) - French,14,Beginner,Yes,Yes,E-learning,40,Obtenir une certification avancée en gestion de la TTM,BD Provena™,,Yes,4.6
HCP0018,Pharmacist,Pharmacie Hospitalière,Private Hospital,Czech Republic,Čeština (cs) - Czech,20,Advanced,Yes,Yes,Webinar,2,Onboard on BD Nexiva™ IV catheter system,,BD7274,No,3.6
HCP0019,Physician,Pediatrics,Universitätsspital,Switzerland,Deutsch (de) - German,7,Advanced,No,Yes,Blended,40,Prepare for OPCO-funded certification in vascular access,BD Midline,BD3438,No,3.5
HCP0020,System Manager,Trauma ICU,Regionsjukhus,Finland,Suomi (fi) - Finnish,9,Intermediate,Yes,Yes,Blended,2,Develop vascular access unit expertise,BD TTM System,BD0105,No,3.0
HCP0021,Nurse,Pediatrics,Kantonsspital,Switzerland,Deutsch (de) - German,21,Advanced,Yes,Yes,E-learning,2,Improve infusion safety and reduce medication errors,BD Foley,BD3758,No,3.2
HCP0022,Nurse,Surgical ICU,Regionaal Ziekenhuis,Netherlands,Nederlands (nl) - Dutch,3,Advanced,No,Yes,On-site,4,Enhance PICC line insertion and maintenance skills,BD Preset™,,Yes,2.8
