Module_ID,Module_Title,Business_Unit_Full,Business_Unit,Topic_Domain,Training_Type,Delivery_Format,Duration_Hours,Skill_Level,Target_Roles,Language,Country,Certification,OPCO_Eligible,Prerequisites_Module_ID,Course_Active,Created_By,Created_Date,Description
BD8808,BD Instaflash™ Needle Technology,Medication Delivery Solutions,MDS,Vascular Access & Infusion,Product Training,Webinar,2,Advanced,Pharmacist|System Manager,English (United Kingdom),United Kingdom,No,No,BD0159,YES,Nazeerah Ramdhian-Demery,8/9/24,"BDLA module on PICCline insertion with ECG-guided tip confirmation. Covers pre-insertion patient assessment, sterile technique, and post-insertion verification."
BD8018,BD Pyxis CIISafe Formulary Workbook without ES Integration,Medication Management Solutions,MMS,Medication Management,BDLA,Blended,2,Intermediate,Nurse|Physician,English (United Kingdom),United States,No,Yes,,YES,MMS-GCS Education Services,4/11/22,"System Manager-level training on Pyxis Enterprise Server reporting, user administration, formulary configuration, and audit trail management."
BD6019,Budget like a Boss 2.0,Select Business,SB,Medication Management,BDLA,Masterclass,1,Intermediate,,English (United Kingdom),Select Country,No,Yes,,YES,Deleted User,5/5/23,"General orientation training for BD product users. Covers company values, quality policy, device classification, and key product categories."
BD0350,Anesthesia Provider - Pyxis Anesthesia System 4000: Essentials (CLP1134),Medication Management Solutions,MMS,Medication Management,Product Training,E-learning,2,Expert,Nurse|ICU Specialist,English (United Kingdom),United States,No,Yes,BD0222,YES,MMS-GCS Education Services,4/11/22,"Step-by-step onboarding for new clinical users of the Pyxis ES dispensing cabinet. Covers login, medication retrieval, discrepancy resolution, and restocking workflows."
BD2418,BD Microtainer® epruvete za prikupljanje krvi i BD Microtainer® MAP mikro epruveta za automatizirani,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,Qualiopi,Webinar,20,Intermediate,Nurse|ICU Specialist,Hrvatski (hr) - Croatian,Croatia,Yes,Yes,,YES,Veronika  Bican,7/11/25,"Module on BD A-Line™ arterial blood gas sampling. Reviews preparation, collection technique, transport requirements, and quality indicators."
BD2160,TTM U Level Fortgeschritten,Urology and Critical Care,UCC,Urology & Critical Care,Product Training,On-site,1,Beginner,Nurse,Deutsch (de) - German,Germany,No,Yes,,YES,Louise Oakes,3/24/25,"Beginner-level introduction to BD TTM System components and clinical indications. Covers patient selection, device priming, and basic alarm management."
BD7803,SA_Foundations of peripheral access management,Medication Delivery Solutions,MDS,Vascular Access & Infusion,BDLA,E-learning,1,Intermediate,Nurse,English (United Kingdom),Saudi Arabia,No,Yes,BD0931,YES,Nazeerah Ramdhian-Demery,1/28/26,"Training on BD Insyte™ Autoguard BC catheter for peripheral IV placement. Reviews site selection, insertion angle, blood control, and fixation."
BD7505,Excel 2016 - Entering and Editing Data,Select Business,SB,Medication Management,BDLA,E-learning,3,Expert,Nurse|Physician,English (United Kingdom),,No,No,,YES,Deleted User,4/21/21,"General orientation training for BD product users. Covers company values, quality policy, device classification, and key product categories."
BD9967,MENA_BD® PosiFlush™ Prefilled Saline Syringe—Sterile Path,Medication Delivery Solutions,MDS,Vascular Access & Infusion,Product Training,E-learning,1.5,Intermediate,Biomedical Engineer,English (United Kingdom),Saudi Arabia,No,No,,YES,Nazeerah Ramdhian-Demery,1/27/26,"Comprehensive vascular access training for nurses covering PICC line insertion, dressing changes, flushing protocols, and troubleshooting."
BD7049,BL_BD Blunt & BD Blunt Filter needles,Medication Delivery Solutions,MDS,Vascular Access & Infusion,Product Training,On-site,2,Advanced,Biomedical Engineer,Français (fr) - French,Belgium,No,No,,YES,Nazeerah Ramdhian-Demery,6/6/25,"Module BDLA sur l'insertion de PICC line avec repérage ECG. Couvre l'évaluation pré-insertion, la technique stérile et la vérification de la position."
BD6533,v9.33 Alaris™ Syringe Module: BD Alaris™ System with Guardrails Suite MX Training,Medication Management Solutions,MMS,Medication Management,BDLA,E-learning,2,Intermediate,Physician|ICU Specialist,English (United Kingdom),,No,No,,YES,MMS-GCS Education Services,4/11/22,"Training on BD Alaris™ infusion system safety features including Guardrails® drug library management, alarm configuration, dose error reduction software, and EHR integration for closed-loop medication administration."
BD7076,Pobieranie krwi w przypadku trudnego dostępu żylnego - wkłucie dożylne.,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,Product Training,On-site,1.5,Advanced,Nurse|ICU Specialist,Polski (pl) - Polish,Poland,No,No,,YES,Aleksandra Wichowska,1/9/24,"Training on BD Microtainer® capillary blood collection tubes. Covers fingerstick technique, tube filling sequence, mixing requirements, and paediatric considerations."
BD6930,Formation technique sur la pompe à perfusion Alaris™ GW 800 et Alaris™ GW,Medication Management Solutions,MMS,Medication Management,Premium,On-site,1.5,Expert,Pharmacist|System Manager,Français (fr) - French,France,Yes,No,,YES,Joel Roney,3/6/24,"Formation sur le système de perfusion BD Alaris™ incluant la gestion de la bibliothèque de médicaments Guardrails®, la configuration des alarmes et l'intégration au DPI."
BD1774,BD Alaris™ System: PCU Disassembly Videos,Medication Management Solutions,MMS,Medication Management,Product Training,Webinar,1,Beginner,Nurse|ICU Specialist,English (United Kingdom),United States,No,Yes,,YES,MMS-GCS Education Services,4/11/22,"Training on HealthSight clinical decision support integration with BD Alaris™ systems. Covers data dashboards, protocol compliance monitoring, and reporting."
BD9122,BD Bodyguard™ Infusion Pump Clinical Overview,Medication Management Solutions,MMS,Medication Management,Product Training,Blended,1,Advanced,System Manager,English (United Kingdom),United Kingdom,No,Yes,,YES,Jane Lovette,2/7/25,"Course on BD Rowa™ automated pharmacy dispensing robots. Covers loading procedures, retrieval operations, error handling, and maintenance routines."
BD9279,BD Alaris™ neXus and Alaris™ Plus Syringe Pump Technical Training,Medication Management Solutions,MMS,Medication Management,BDLA,E-learning,7,Advanced,Nurse|ICU Specialist,English (United Kingdom),United Kingdom,No,Yes,,YES,Joel Roney,2/28/23,"Advanced configuration training for BD Alaris™ Guardrails® Suite MX drug library updates, DERS rules management, and CQI data analysis."
BD5106,TTM U Nybegynnernivå,Urology and Critical Care,UCC,Urology & Critical Care,Qualiopi,On-site,0.25,Intermediate,Pharmacist,Norsk (Ino) - Norwegian,,Yes,Yes,,YES,Louise Oakes,5/7/25,"Intermediate-level TTM course for critical care nurses and physicians. Covers equipment setup, vital signs monitoring during therapy, protocol adjustments, and clinical documentation requirements."
BD7260,Hemokultura – Uzimanje uzorka venepunkcijom ili iz  uređaja za vaskularni pristup,Integrated Diagnostic Solutions,IDS,Specimen Collection & Diagnostics,BDLA,Webinar,1,Intermediate,Pharmacy Manager,Hrvatski (hr) - Croatian,Croatia,No,No,,YES,Veronika  Bican,7/10/25,"Training on BD Vacutainer® blood collection system best practices. Covers tube selection, order of draw, labelling standards, and pre-analytical error prevention."
BD8634,BD Pyxis Enterprise Server v1.5 Curriculum (CLP-ES100-JA),Medication Management Solutions,MMS,Medication Management,BDLA,E-learning,1.5,Intermediate,System Manager,English (United Kingdom),United States,No,Yes,,YES,MMS-GCS Education Services,4/11/22,"Step-by-step onboarding for new clinical users of the Pyxis ES dispensing cabinet. Covers login, medication retrieval, discrepancy resolution, and restocking workflows."
BD5376,BD Vacutainer® PrecisionGlide™ többszörös vérvételhez használt tű,Specimen Management,SM,Specimen Collection & Diagnostics,Product Training,Webinar,0.5,Intermediate,Nurse|ICU Specialist,English (United Kingdom),,No,No,BD0685,YES,Veronika  Bican,1/18/26,"Module on specimen labelling, routing, and chain-of-custody procedures. Covers barcode scanning, reject criteria, and pre-analytical quality indicators."
BD0694,BD Rowa™ - Pickup Cloud Processes & Terminal Components - FR,Medication Management Solutions,MMS,Medication Management,BDLA,Webinar,1,Beginner,Biomedical Engineer,Français (fr) - French,France,No,No,,YES,Dominik Bandel,4/15/24,"Module avancé sur la configuration du Pyxis Enterprise Server : administration des utilisateurs, gestion des formulaires et analyse des rapports d'audit."
